Analog1, Analog2, Digital1, Digital2
12187,9288,0,0
12115,9320,0,0
12156,9438,0,0
12109,9274,0,0
12225,9290,0,0
12138,9449,0,0
12005,9382,0,0
11984,9379,0,0
11956,9339,0,0
12155,9280,0,0
12074,9283,0,0
12046,9288,0,0
11979,9395,0,0
12176,9387,0,0
11998,9498,0,0
12246,9283,0,0
12072,9380,0,0
12050,9372,0,0
12032,9336,0,0
12038,9419,0,0
11935,9160,0,0
11866,9345,0,0
11971,9428,0,0
12044,9301,0,0
12032,9413,0,0
12009,9340,0,0
11964,9362,0,0
11974,9361,0,0
11917,9397,0,0
11947,9319,0,0
11877,9388,0,0
11940,9397,0,0
12099,9402,0,0
11966,9229,0,0
11981,9370,0,0
11996,9340,0,0
12006,9387,0,0
11885,9329,0,0
11943,9210,0,0
11980,9430,0,0
11988,9388,0,0
11992,9286,0,0
11941,9344,0,0
12053,9464,0,0
12054,9283,0,0
11931,9323,0,0
11828,9334,0,0
11950,9267,0,0
12109,9375,0,0
11768,9369,0,0
11934,9302,0,0
11960,9188,0,0
12054,9315,0,0
12056,9232,0,0
12021,9404,0,0
11981,9289,0,0
11998,9292,0,0
11946,9357,0,0
11951,9301,0,0
11946,9460,0,0
11908,9389,0,0
11986,9589,0,0
12153,9409,0,0
12046,9471,0,0
12188,9357,0,0
11930,9367,0,0
12028,9201,0,0
12082,9317,0,0
12032,9288,0,0
11941,9349,0,0
12009,9417,0,0
11883,9328,0,0
11880,9366,0,0
11922,9258,0,0
11835,9316,0,0
11849,9280,0,0
11969,9186,0,0
11890,9402,0,0
11943,9239,0,0
11848,9435,0,0
11846,9342,0,0
11932,9450,0,0
12000,9428,0,0
12065,9393,0,0
11910,9262,0,0
11913,9301,0,0
11905,9380,0,0
11985,9269,0,0
11840,9448,0,0
11817,9358,0,0
12037,9404,0,0
12034,9397,0,0
11980,9348,0,0
11877,9172,0,0
11616,9333,0,0
12042,9362,0,0
11917,9239,0,0
11862,9292,0,0
11751,9174,0,0
11942,9352,0,0
11965,9576,0,0
11953,9262,0,0
11992,9312,0,0
11971,9263,0,0
11923,9418,0,0
11914,9474,0,0
11972,9264,0,0
11763,9355,0,0
11918,9240,0,0
11935,9221,0,0
11854,9375,0,0
11720,9253,0,0
11862,9287,0,0
11877,9325,0,0
11792,9378,0,0
11718,9445,0,0
11969,9325,0,0
11781,9233,0,0
11886,9344,0,0
11931,9381,0,0
11731,9342,0,0
11762,9340,0,0
11843,9319,0,0
11794,9414,0,0
11795,9312,0,0
11798,9414,0,0
11768,9319,0,0
11842,9389,0,0
11814,9277,0,0
11910,9244,0,0
11724,9287,0,0
11752,9320,0,0
11683,9368,0,0
11789,9317,0,0
11906,9361,0,0
11763,9321,0,0
11922,9452,0,0
12044,9312,0,0
11963,9359,0,0
11955,9322,0,0
12008,9422,0,0
11969,9340,0,0
11800,9441,0,0
11975,9364,0,0
11966,9386,0,0
12015,9310,0,0
12081,9390,0,0
12019,9283,0,0
12063,9426,0,0
11965,9260,0,0
11972,9358,0,0
12012,9398,0,0
12010,9248,0,0
11998,9362,0,0
11955,9289,0,0
11952,9335,0,0
11982,9265,0,0
11767,9230,0,0
11941,9231,0,0
11982,9412,0,0
11933,9376,0,0
11995,9420,0,0
11893,9338,0,0
11952,9330,0,0
11905,9294,0,0
11997,9296,0,0
11991,9201,0,0
11950,9390,0,0
11865,9281,0,0
11983,9427,0,0
11739,9230,0,0
11891,9373,0,0
11858,9399,0,0
11664,9241,0,0
11887,9322,0,0
11728,9314,0,0
11851,9199,0,0
11784,9331,0,0
11733,9358,0,0
11784,9243,0,0
11689,9352,0,0
11876,9297,0,0
11687,9400,0,0
11870,9346,0,0
11742,9301,0,0
11721,9491,0,0
11754,9228,0,0
11791,9467,0,0
11929,9414,0,0
11817,9248,0,0
11873,9306,0,0
11781,9357,0,0
11859,9289,0,0
11729,9404,0,0
11731,9356,0,0
11771,9285,0,0
11799,9423,0,0
11941,9331,0,0
11884,9506,0,0
11722,9293,0,0
11638,9345,0,0
11852,9329,0,0
11599,9265,0,0
11792,9334,0,0
11836,9307,0,0
11716,9380,0,0
11728,9309,0,0
11660,9297,0,0
11938,9243,0,0
11663,9255,0,0
11675,9295,0,0
11592,9205,0,0
11870,9542,0,0
11837,9513,0,0
11746,9302,0,0
11870,9317,0,0
11908,9344,0,0
12012,9392,0,0
11814,9282,0,0
11737,9477,0,0
11810,9386,0,0
11798,9361,0,0
11919,9335,0,0
12047,9363,0,0
11917,9467,0,0
11935,9209,0,0
11996,9156,0,0
11889,9303,0,0
11940,9414,0,0
11736,9290,0,0
11887,9426,0,0
11860,9312,0,0
11879,9359,0,0
11930,9393,0,0
11880,9327,0,0
11824,9342,0,0
11820,9266,0,0
11838,9422,0,0
11802,9294,0,0
11824,9248,0,0
11814,9356,0,0
11754,9373,0,0
11832,9360,0,0
11850,9253,0,0
11855,9377,0,0
11840,9318,0,0
11672,9481,0,0
11696,9311,0,0
11834,9320,0,0
11926,9333,0,0
11795,9297,0,0
11792,9345,0,0
11865,9340,0,0
12007,9216,0,0
11741,9369,0,0
11873,9456,0,0
11811,9195,0,0
11961,9291,0,0
12015,9304,0,0
11807,9214,0,0
11871,9262,0,0
11735,9262,0,0
11900,9259,0,0
11884,9210,0,0
11933,9234,0,0
11874,9191,0,0
11861,9281,0,0
11803,9182,0,0
11909,9197,0,0
11786,9365,0,0
12075,9316,0,0
11818,9303,0,0
11911,9417,0,0
11892,9318,0,0
11740,9352,0,0
11862,9311,0,0
11990,9447,0,0
11878,9274,0,0
11813,9341,0,0
11901,9371,0,0
11932,9315,0,0
11946,9364,0,0
11875,9462,0,0
11961,9319,0,0
12000,9302,0,0
12003,9192,0,0
12031,9420,0,0
11929,9432,0,0
11965,9290,0,0
11972,9508,0,0
11766,9394,0,0
11906,9345,0,0
11866,9417,0,0
11827,9391,0,0
11858,9398,0,0
12030,9246,0,0
11837,9347,0,0
11922,9347,0,0
11788,9306,0,0
12125,9327,0,0
11838,9274,0,0
11961,9229,0,0
11981,9340,0,0
11998,9240,0,0
11917,9199,0,0
12077,9439,0,0
12200,9227,0,0
12077,9435,0,0
12008,9264,0,0
12053,9272,0,0
12072,9421,0,0
12105,9086,0,0
11921,9421,0,0
12153,9262,0,0
12191,9195,0,0
12234,9327,0,0
12158,9244,0,0
12222,9314,0,0
12175,9303,0,0
12258,9215,0,0
12259,9184,0,0
12131,9347,0,0
12332,9391,0,0
12302,9464,0,0
12230,9344,0,0
12421,9259,0,0
12479,9205,0,0
12500,9340,0,0
12420,9231,0,0
12442,9132,0,0
12527,9417,0,0
12456,9340,0,0
12645,9327,0,0
12502,9224,0,0
12647,9289,0,0
12532,9280,0,0
12649,9256,0,0
12617,9219,0,0
12648,9370,0,0
12618,9337,0,0
12570,9126,0,0
12695,9223,0,0
12612,9310,0,0
12616,9165,0,0
12574,9237,0,0
12642,9240,0,0
12591,9170,0,0
12501,9127,0,0
12480,9253,0,0
12427,9204,0,0
12540,9221,0,0
12626,9354,0,0
12366,9128,0,0
12621,9201,0,0
12490,9178,0,0
12515,9372,0,0
12538,9249,0,0
12656,9159,0,0
12675,9338,0,0
12747,9281,0,0
12804,9186,0,0
12543,9169,0,0
12801,9273,0,0
12648,9336,0,0
12645,9304,0,0
12637,9369,0,0
12723,9394,0,0
12797,9287,0,0
12798,9302,0,0
12901,9234,0,0
12844,9237,0,0
12828,9260,0,0
12817,9242,0,0
12996,9026,0,0
12950,9330,0,0
12849,9287,0,0
12845,9240,0,0
13017,9315,0,0
12954,9084,0,0
12937,9265,0,0
12865,9383,0,0
13060,9015,0,0
13005,9179,0,0
12768,9085,0,0
12794,9202,0,0
12868,9265,0,0
12805,9299,0,0
12699,9144,0,0
12738,9173,0,0
12800,9124,0,0
13028,9304,0,0
13033,9231,0,0
13135,9269,0,0
13101,9323,0,0
13019,9164,0,0
13217,9149,0,0
13286,9161,0,0
13096,9255,0,0
13015,9176,0,0
12990,9262,0,0
13139,9217,0,0
13015,9191,0,0
13087,9345,0,0
13314,9319,0,0
13149,9144,0,0
13140,9174,0,0
13073,9182,0,0
13107,9231,0,0
13138,9287,0,0
13246,9304,0,0
13032,9253,0,0
13147,9230,0,0
13230,9290,0,0
13217,9276,0,0
13240,9151,0,0
13184,9278,0,0
13342,9214,0,0
13188,9150,0,0
13046,9201,0,0
13106,9211,0,0
13174,9163,0,0
13046,9051,0,0
13093,9176,0,0
12990,9107,0,0
13040,9116,0,0
13004,9212,0,0
12826,9192,0,0
12948,9143,0,0
13019,9140,0,0
12627,9081,0,0
12880,9290,0,0
12656,9280,0,0
12832,9265,0,0
12736,9290,0,0
12485,9224,0,0
12733,9215,0,0
12661,9071,0,0
12584,9218,0,0
12634,9186,0,0
12481,9181,0,0
12545,9258,0,0
12518,9285,0,0
12366,9168,0,0
12389,9191,0,0
12467,9034,0,0
12571,9342,0,0
12424,9351,0,0
12414,9123,0,0
12234,9334,0,0
